paper_id,instA_coords,instB_coords,instA_id,instB_id
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-87.8544434, 42.0926692]",1281,5553
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-87.64963359999999, 41.8697938]",1281,7661
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-87.47078690000001, 41.5548755]",1281,4308
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-117.2340135, 32.8800604]",1281,9283
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-96.04151800000001, 41.25797480000001]",1281,10517
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-80.212958, 25.7920829]",1281,1214
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-83.01720429999999, 39.9946534]",547,6525
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-105.002342, 39.746359600000005]",547,3213
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-77.4036222, 35.6086399]",547,9863
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-95.396499, 29.71052959999999]",547,3573
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-91.547979, 41.658974]",547,4286
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-95.9759165, 41.2548549]",547,4113
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-87.83545129999999, 41.860566999999996]",547,1245
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-87.83875379999998, 41.857569700000006]",547,6097
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-96.8402208, 32.8120563]",547,2125
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-73.8463432, 40.852701200000006]",547,3118
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-87.8544434, 42.0926692]",547,5553
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-87.64963359999999, 41.8697938]",547,7661
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-87.47078690000001, 41.5548755]",547,4308
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-117.2340135, 32.8800604]",547,9283
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-96.04151800000001, 41.25797480000001]",547,10517
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.7326064, 42.2840011]","[-80.212958, 25.7920829]",547,1214
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.01720429999999, 39.9946534]","[-105.002342, 39.746359600000005]",6525,3213
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.01720429999999, 39.9946534]","[-77.4036222, 35.6086399]",6525,9863
01b9cff3de8b775f53a16d643be1759374faa4df,"[-83.01720429999999, 39.9946534]","[-95.396499, 29.71052959999999]",6525,3573
